Make,Model,Year,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Temperature_C
Tesla,Model S,2020,Sedan,83.1,88.9,472,81.9,1.29,1535,23.71,186879,75.7,31.2
Hyundai,Ioniq 5,2023,Truck,30.9,90.3,153,49.5,0.8,1066,22.43,6766,63.7,10.5
Volkswagen,ID.4,2020,Hatchback,79.3,88.3,331,124.3,0.85,697,24.33,136776,93.8,10.9
Mercedes,EQS,2021,SUV,78.3,92.6,335,94.2,1.04,384,24.08,129451,93.8,7.9
Audi,Q4 e-tron,2018,Truck,116.6,89.6,661,136.5,1.14,921,19.53,187702,82,24.1
Chevrolet,Bolt EUV,2020,Truck,98,92.5,444,147.7,0.72,1935,15.33,161537,45,13.5
BMW,iX,2016,SUV,62.6,79.6,362,129.7,0.57,1923,17.62,9329,49.2,25.7
BMW,i3,2023,Hatchback,88.6,77.8,366,109.8,0.99,1808,14.8,21220,35.1,28.6
Mercedes,EQC,2021,Hatchback,115.6,87.9,465,95.3,1.65,952,17.71,249053,57.1,29.9
Nissan,Leaf,2024,Hatchback,41.5,76.7,233,221,0.26,1959,18.21,182563,39.3,12.2
Kia,EV6,2019,Sedan,104.9,79.8,572,33.4,3.63,1058,21.75,97529,83.3,7.7
Volkswagen,ID.4,2016,Sedan,91.1,76.9,457,223.2,0.47,489,14.15,136994,61.9,8.2
Chevrolet,Bolt EUV,2016,SUV,62.8,76.3,348,127.3,0.65,1900,17.12,221026,84.4,-6
Kia,EV6,2021,SUV,45.7,85.5,206,183.7,0.32,1467,20.47,103752,82.7,27.5
Tesla,Model X,2022,Sedan,114.1,99.3,625,71.3,2.09,1304,19.64,147712,96.4,13.6
Kia,Niro EV,2017,Hatchback,49.3,70.2,226,190,0.29,625,18.42,205609,65.2,8
Hyundai,Kona Electric,2023,Sedan,30.8,91.5,144,199,0.2,1036,21.19,156168,42.1,2.6
Audi,Q4 e-tron,2020,Truck,61.6,95.1,254,236.2,0.28,1766,15.79,113139,51.1,22.2
Hyundai,Ioniq 5,2020,Sedan,52.9,98.5,278,48.3,1.24,391,17.59,109417,39.4,-3.6
Volkswagen,ID.3,2018,Truck,60.9,75.5,256,242.6,0.33,598,16.72,11641,65.5,18.3
Audi,Q4 e-tron,2022,Hatchback,106.9,84.1,613,80.7,1.81,1115,13.72,238265,77.3,15
Chevrolet,Bolt EV,2022,Hatchback,70.4,78.6,296,193.5,0.44,1498,19.88,63017,62.2,15.3
Mercedes,EQC,2017,Sedan,48.5,89.4,276,123.9,0.44,1734,19.61,61289,93.7,31.7
Volkswagen,ID.3,2017,Truck,69.2,86.7,332,61.3,1.33,1786,12.72,244427,46.4,32.8
Audi,e-tron,2020,SUV,73.3,85.9,337,129.2,0.77,1294,16.06,176735,76.8,22.8
Volkswagen,ID.4,2021,SUV,67.3,95.3,300,12.4,6.29,1504,23.57,166233,73.4,14.8
Ford,Mustang Mach-E,2016,SUV,83.5,79.7,338,190.3,0.58,746,24,84968,70.4,-8.4
Hyundai,Ioniq 5,2021,SUV,35,87.7,200,125.9,0.4,1532,20.6,33106,97.6,24
Kia,EV6,2023,SUV,46.8,71,275,232.3,0.27,753,19.24,223339,76.3,14.3
Ford,Mustang Mach-E,2024,Sedan,112.2,72.8,610,44.6,3.16,666,14.06,60715,81.8,34.2
Chevrolet,Bolt EV,2020,Hatchback,98.3,86.8,452,106.7,1.06,383,12.49,199202,70,23
Ford,F-150 Lightning,2018,Hatchback,83.7,95.1,461,191,0.53,1869,19.65,166080,39.7,1.1
Kia,Niro EV,2021,SUV,108.9,90.3,513,133.5,0.94,377,17.14,243054,91.2,-0.3
Volkswagen,ID.4,2021,Truck,93.3,71.3,542,126.8,0.9,1353,22.95,11734,62.8,14.5
BMW,i4,2024,Hatchback,95.5,94,562,156.4,0.8,1691,12.9,208941,70.2,-3.9
Tesla,Model S,2023,Hatchback,33.6,81.6,161,50.9,0.94,1700,19.01,188505,39.3,11.1
Ford,F-150 Lightning,2021,SUV,38,95.8,213,19,2.77,1376,13.06,111998,65.7,7.9
Hyundai,Ioniq 5,2016,Truck,57,85.9,274,76.4,1.02,1186,12.8,155946,53.1,9
Chevrolet,Bolt EUV,2017,Hatchback,80.4,83.5,425,238.7,0.37,1476,18.12,157206,62.9,19.4
Ford,F-150 Lightning,2018,Hatchback,54.5,96.2,301,97.6,0.63,406,17.33,193362,67.3,16
BMW,iX,2017,Sedan,69,87.1,396,232.8,0.36,1191,24.35,99071,82.2,22.3
Hyundai,Ioniq 5,2019,SUV,105.2,82,515,214.5,0.55,767,21.65,9521,77.5,12.3
Chevrolet,Bolt EV,2024,Hatchback,100.7,73.6,426,59.9,2.33,1278,20.72,193961,41.2,32.7
Audi,Q4 e-tron,2016,Truck,51.6,88.6,224,191.9,0.38,907,20.74,184030,52.7,14.9
Mercedes,EQC,2015,Sedan,48.8,84.6,203,212.6,0.26,702,16.4,159093,95.8,4
Tesla,Model 3,2017,Hatchback,47.9,89,246,102.4,0.6,410,13.18,41509,94.3,20.4
Chevrolet,Bolt EUV,2022,Truck,41.5,78,235,89.2,0.57,886,18.66,238883,57.3,39.4
Audi,Q4 e-tron,2022,Sedan,50.5,70.7,240,44.8,1.28,873,15.58,104007,88.6,-7.4
Ford,Mustang Mach-E,2017,Truck,35.9,82,198,229.7,0.19,1989,15.86,245839,96,9.7
Audi,Q4 e-tron,2017,Sedan,32.8,83.8,161,141,0.27,1485,15,199692,71.2,1.4
Kia,Niro EV,2020,SUV,83.6,99.1,498,149.5,0.8,1606,24.38,153480,55.6,3.7
Volkswagen,ID.4,2018,Sedan,110.5,90.2,487,233.9,0.62,438,21.87,130611,76.5,5
Hyundai,Ioniq 5,2017,Truck,98.9,72.1,424,176.9,0.61,900,23.44,97313,33.7,12
Mercedes,EQS,2019,Hatchback,72.8,76.7,415,71.7,1.31,1360,13.71,166704,58.7,-0.1
Audi,Q4 e-tron,2018,SUV,56.6,98.4,338,124.2,0.51,719,18.62,121751,34.1,29
BMW,iX,2019,Truck,87.6,93.2,501,14.2,7.08,1584,24.29,67497,74.5,31.8
Nissan,Leaf,2018,Hatchback,95.7,74.9,491,85.7,1.5,1574,21.66,25239,57.9,26
Nissan,Ariya,2017,Sedan,69.4,95.3,360,184.1,0.51,1995,15.56,150074,75.8,29.1
Nissan,Leaf,2024,SUV,99.2,82.9,547,99.9,1.3,237,17.46,236343,47.8,36.6
Volkswagen,ID.4,2024,SUV,42.2,78.2,184,222,0.22,281,14.59,74377,51.9,24.4
Chevrolet,Bolt EV,2018,SUV,83.8,83.1,499,96.1,1.02,1681,20.48,85636,61.2,28.2
Ford,F-150 Lightning,2022,Hatchback,43.3,83.6,249,111.7,0.43,236,20.18,226437,92.3,-4
Audi,Q4 e-tron,2023,SUV,90.8,72.6,487,149.7,0.71,1564,15.46,103388,48.2,24.7
Chevrolet,Bolt EUV,2018,Truck,91.6,81.1,448,89.9,1.13,1460,18.04,238688,74.4,36.5
Hyundai,Kona Electric,2020,Truck,79.1,76.7,386,126.7,0.69,1588,17.43,77439,31.2,3.4
Kia,EV6,2018,Sedan,118.7,73,575,84.4,1.52,934,13.85,77870,35.7,4
BMW,i4,2021,Hatchback,88.1,95.5,423,209.4,0.57,1392,17.63,107092,45.6,26.3
Chevrolet,Bolt EUV,2018,Sedan,65,86.7,334,50.6,1.6,507,15.25,164965,83.3,24.5
Mercedes,EQC,2024,Truck,61.3,99,305,37.7,2,1756,16.01,159986,52.7,17.2
Audi,Q4 e-tron,2015,SUV,74,85.1,387,11.8,6.72,1982,16.96,201339,42.2,-2.9
Volkswagen,ID.4,2021,Truck,31.6,76.5,130,147.3,0.24,943,15.28,171391,68.9,-5.2
Hyundai,Ioniq 5,2017,Truck,106.6,97.2,534,153,0.79,1249,17.88,175310,86.7,5.1
Nissan,Leaf,2020,Truck,107.9,87,585,212.2,0.62,823,19.89,238998,45.6,5.8
Chevrolet,Bolt EUV,2024,Hatchback,37.6,71.4,158,93.1,0.48,1662,13.3,187356,86.6,-5.6
Tesla,Model 3,2017,Sedan,41.5,98.4,213,84,0.6,1765,12.3,228910,80.1,2.2
Kia,Niro EV,2022,Hatchback,77.6,98.8,360,125.6,0.68,903,22.36,117529,40.6,22.8
Hyundai,Kona Electric,2016,Sedan,93.3,96.7,491,235.1,0.54,997,17.01,245005,89.9,38.5
Ford,F-150 Lightning,2020,Hatchback,33.4,97.5,142,142.9,0.3,619,22.29,196929,38.1,3.9
Tesla,Model X,2016,SUV,55.3,72.3,237,178.1,0.44,708,19.98,132781,83.8,39.3
Volkswagen,ID.3,2022,SUV,32.2,81.5,162,173.1,0.24,1536,16.67,154741,65.1,34.5
Volkswagen,ID.3,2024,SUV,71,94.4,338,139.7,0.55,1537,22.34,37556,33.1,31.7
Hyundai,Kona Electric,2015,Hatchback,109.6,92.4,655,105.8,1.29,445,16.02,12504,70.5,-1.8
Audi,e-tron,2018,Hatchback,55.4,94.4,234,191.7,0.4,901,20.5,234176,42.1,36.4
Ford,Mustang Mach-E,2017,Sedan,113.4,97,473,42.5,3.24,1885,19.24,203230,40.4,19.7
Kia,EV6,2016,Sedan,107.1,73.5,576,108.7,1.31,1320,20.48,72009,78.7,-1.8
Nissan,Leaf,2018,Truck,81.5,87.1,392,57,1.61,817,15.44,119186,79.7,24.9
Kia,EV6,2016,SUV,109.1,95,639,120.6,1.01,1133,24.8,116872,32.7,-7.9
Mercedes,EQS,2018,Truck,33.3,82.9,183,150.4,0.24,1047,22.53,49158,35.9,24.7
BMW,i4,2017,Truck,87.5,83.4,465,179.9,0.53,707,12.29,215244,85.9,1.1
Tesla,Model X,2019,Sedan,33.8,74.8,161,63.4,0.69,1976,21.29,74211,79.9,33.5
Hyundai,Ioniq 5,2023,Hatchback,103.6,70.2,619,54.7,2.32,1127,14.93,218097,77.1,4.5
Tesla,Model Y,2018,SUV,82,85.8,354,182,0.51,269,24.55,33390,83,2
Chevrolet,Bolt EUV,2019,Hatchback,99.6,87.1,416,113.8,1.03,311,22.27,191964,86.4,36.8
BMW,iX,2016,Truck,71.6,100,406,187.8,0.42,396,22.12,28057,48.3,19.7
Kia,EV6,2022,SUV,86.3,70.9,512,232,0.4,1863,23.56,53415,96.8,-4
Kia,Niro EV,2020,Sedan,54.6,88.8,308,180.1,0.37,1384,22.26,32799,72.1,21.4
Volkswagen,ID.3,2017,Truck,72.7,84,295,68.6,1.43,598,15.57,68969,89.9,-9.7
Ford,Mustang Mach-E,2021,SUV,116.3,98.8,568,165,0.83,1823,12.72,167495,34.5,4.8
Chevrolet,Bolt EV,2021,Truck,40.9,72,243,173.8,0.29,1518,24.45,20634,84.6,-4.9
Ford,Mustang Mach-E,2019,Sedan,112.8,97.4,674,219.9,0.54,467,15.16,42117,87.6,-1.2
BMW,i3,2015,Sedan,59.1,95.7,306,134.8,0.49,1895,13.01,136590,60.8,29.6
Nissan,Leaf,2024,Hatchback,38.2,73.9,171,216.4,0.19,302,14.25,204884,52.9,39.7
Mercedes,EQS,2017,Truck,106,95.3,493,32,3.78,1289,12.59,224460,89.3,34.9
Nissan,Leaf,2022,Hatchback,53.2,92.6,222,87.7,0.76,1867,22.94,227352,90.2,24.8
Tesla,Model X,2021,Truck,30.3,86,127,104.6,0.34,653,21.41,196432,84.2,24.2
Mercedes,EQS,2020,Sedan,118,70.1,678,84.5,1.49,1120,19.03,24283,35.6,-5.8
Hyundai,Kona Electric,2024,SUV,108.3,83.5,645,240.4,0.58,1430,14.92,162743,44.7,3.2
Hyundai,Kona Electric,2020,SUV,66,87.3,376,243.8,0.33,970,20.68,55241,69.6,2.6
Volkswagen,ID.3,2019,Hatchback,108.9,86.3,487,214.4,0.61,393,14.56,12711,55,-8.8
Volkswagen,ID.3,2015,SUV,118.5,94.3,511,77.4,1.96,1070,23.69,200507,82.5,10.2
Audi,Q4 e-tron,2020,Hatchback,115.7,93.8,596,165.6,0.75,1906,16.31,37977,69.3,13.2
Audi,Q4 e-tron,2017,Hatchback,112.8,91.7,600,116.5,1.12,381,19.55,177934,68.8,30.4
Ford,Mustang Mach-E,2024,Hatchback,52.7,92.4,277,195.6,0.34,1770,20.01,213786,54.2,27.1
Ford,F-150 Lightning,2016,Hatchback,118.2,93.9,544,213.6,0.62,328,17.69,122545,43,36.6
Tesla,Model X,2024,SUV,72.6,94.1,404,192.6,0.48,717,22.7,127080,98.2,1.3
Kia,EV6,2022,Truck,71.7,88.4,325,76.5,1.29,1858,22.86,109570,83.4,20.8
Kia,EV6,2016,Sedan,99.7,76.3,489,48.3,2.2,783,13.68,75815,78.3,-3.1
BMW,i3,2023,Truck,59.2,85.6,329,211.4,0.33,1593,20.17,6293,46.2,8.8
Hyundai,Ioniq 5,2020,Sedan,62.6,81,360,20.4,3.24,673,14.39,101171,32.7,-4.7
Mercedes,EQC,2017,Truck,84.3,83.1,475,231.8,0.42,1342,18.63,37406,93.4,37.1
Chevrolet,Bolt EV,2022,Sedan,102.5,74.8,470,173.4,0.76,1192,14.28,233356,83.4,33.1
Volkswagen,ID.3,2017,Truck,50.9,88.5,255,248,0.22,272,18.39,228793,30.3,6.4
Volkswagen,ID.3,2016,Sedan,39,80.1,185,122.3,0.39,920,23.05,63920,73,6.1
Volkswagen,ID.3,2018,Sedan,99.5,96.9,464,248.1,0.55,683,13.24,55511,94.9,15.5
Mercedes,EQC,2017,SUV,117.3,90,651,196.5,0.72,1447,21.02,160925,52,5
Volkswagen,ID.4,2024,SUV,69.3,92.2,339,27.4,3.41,1526,19.94,213327,69.9,36.5
Volkswagen,ID.3,2022,Truck,109.6,94.5,573,236.8,0.54,1366,21.47,88443,59.2,19.9
Mercedes,EQC,2017,Truck,109.9,82.1,576,223.5,0.65,1441,21.13,125026,71.9,0.3
Audi,Q4 e-tron,2020,SUV,111.9,78.2,560,240.1,0.63,1532,12.22,109213,77.6,8.8
Hyundai,Ioniq 5,2021,SUV,46.9,70.2,278,114.2,0.44,1737,12.11,187102,44.1,18.9
Audi,e-tron,2021,Sedan,39.3,73.9,164,53.6,0.84,200,14.45,33390,78.5,23
Ford,Mustang Mach-E,2015,Hatchback,107.8,72,571,39.7,3.87,1747,14.52,98558,93.6,6.4
Ford,Mustang Mach-E,2017,Truck,73.5,93.7,364,198.2,0.46,603,20.23,186374,35.4,30.6
Tesla,Model X,2019,Truck,106.5,98.5,546,50.5,2.26,1697,12.83,120106,78.5,5.6
Mercedes,EQC,2016,Sedan,71,76.2,391,118.9,0.64,1288,20.88,190770,38.4,31.4
Ford,Mustang Mach-E,2015,Sedan,30.3,77.8,153,138.4,0.25,514,15.49,182187,43.3,0.9
Hyundai,Kona Electric,2017,Sedan,109.2,76.4,649,45.1,3.34,1522,23.09,160232,84.7,11.7
Nissan,Ariya,2020,Hatchback,104.9,83.8,544,74.9,1.63,287,14.45,127388,92.1,5.9
Hyundai,Kona Electric,2016,Truck,57.4,78,244,133.1,0.58,1638,13.57,198497,70.4,24.7
Mercedes,EQC,2020,Hatchback,31.4,94.5,144,46.8,0.89,342,21.49,195701,50.2,29.9
Audi,e-tron,2021,SUV,52,76.5,222,142.8,0.43,864,14.76,150468,50.5,17.3
Hyundai,Ioniq 5,2020,Hatchback,54.5,72.6,308,214.9,0.34,491,17.95,39626,44.8,32
Nissan,Ariya,2022,Truck,48.6,80.1,207,28.7,1.79,539,20.15,178453,83.6,5.6
Kia,Niro EV,2016,Hatchback,63.8,99.5,340,239.6,0.35,634,17.24,12837,48.9,39.4
Nissan,Ariya,2019,Sedan,68.3,88.1,280,212.3,0.37,1356,15.54,153460,71.4,6.2
Audi,Q4 e-tron,2019,Sedan,88.8,71.6,410,46.7,2.25,444,18.98,172596,47.9,23.3
Kia,Niro EV,2020,Hatchback,53.1,73,276,173.5,0.36,219,21.54,170819,39.4,39.6
Tesla,Model X,2019,Truck,87.4,96.4,452,197.1,0.58,1032,23.73,224803,76.7,-7
Hyundai,Ioniq 5,2023,Truck,79.3,84.8,366,131.4,0.82,530,12.45,71714,70,30.1
Audi,Q4 e-tron,2018,SUV,111.6,72.2,588,174.6,0.77,1492,21.32,91706,74.7,-6.2
BMW,i3,2021,SUV,102.1,89.5,503,148.6,0.86,1995,22.67,233327,67.1,33.3
Mercedes,EQC,2022,Truck,39,92.1,211,246.7,0.19,1672,13.76,161646,91.2,33
Chevrolet,Bolt EV,2024,SUV,38.7,71.2,191,154.2,0.35,922,18.37,216818,69.4,25.9
Hyundai,Kona Electric,2022,SUV,67.1,92.4,322,173.1,0.44,725,16.49,134022,77.9,24.7
Mercedes,EQC,2022,Sedan,35.5,98.3,202,212.9,0.18,934,19.01,24763,58.1,23.4
Nissan,Leaf,2018,SUV,39.7,95.9,171,126.6,0.42,1897,13.23,196781,56.6,27.7
Ford,F-150 Lightning,2019,Truck,45,76.7,191,116.2,0.42,1869,18.78,51659,89.2,0.7
Kia,EV6,2024,Sedan,76.3,94.4,415,158,0.65,923,17.07,78947,39.6,27.7
Tesla,Model X,2016,SUV,72.9,71.5,380,108.2,0.86,1102,20.6,70950,36.5,-6.4
Tesla,Model X,2024,Hatchback,105.4,88.4,457,16,9.31,1254,24.04,226890,38.5,5.3
Mercedes,EQS,2021,SUV,45.5,77.8,224,66.7,0.81,1130,13.09,88866,76.6,28.1
Chevrolet,Bolt EV,2022,SUV,38.5,79.6,155,37.5,1.14,552,14.25,124414,80.9,8.7
Volkswagen,ID.3,2022,Hatchback,62.7,91.9,288,140.8,0.55,543,24.67,106427,95.5,31.1
Hyundai,Kona Electric,2020,SUV,63.9,84,309,53.6,1.28,862,14.68,201983,77.6,-10
Chevrolet,Bolt EUV,2015,SUV,33.3,99.5,163,96.9,0.44,1272,14.11,92157,96.9,27.5
Tesla,Model Y,2018,Hatchback,69.1,86.8,284,177.4,0.55,895,14.06,76895,92.7,27.5
Mercedes,EQC,2018,Hatchback,35,70.1,147,200.3,0.19,248,14.6,205073,40.3,4.6
Hyundai,Ioniq 5,2024,Hatchback,43.4,93.8,225,35,1.32,1690,16.85,186854,59.7,35.9
Tesla,Model 3,2024,Hatchback,51.6,96.8,306,198.9,0.31,956,24.26,163516,63.5,1.3
Kia,Niro EV,2020,Hatchback,48.7,94,255,122.9,0.53,1117,24.11,195012,66.4,32.7
Tesla,Model 3,2019,Hatchback,82.6,90,448,221.8,0.47,1569,24.55,204978,60.5,21.2
Audi,e-tron,2022,SUV,102.3,86.6,509,38.2,3.71,401,13.04,183625,96.8,18.1
Ford,F-150 Lightning,2016,SUV,68.3,96.2,327,90.7,0.96,1750,15.53,142166,40.3,19.8
Hyundai,Ioniq 5,2022,Truck,110.1,86.6,653,249.1,0.61,1029,15.17,176226,57.1,37.1
BMW,iX,2019,Sedan,68.4,98.2,332,96.6,0.87,1051,13.63,179899,86,29.6
Chevrolet,Bolt EUV,2020,Hatchback,63,88.7,260,137.7,0.49,1408,20.75,168704,77.7,5.5
Mercedes,EQC,2022,Hatchback,37.7,83.3,214,158.2,0.31,450,13.57,31190,98.1,16.7
Ford,Mustang Mach-E,2019,SUV,48,71.8,214,112.8,0.48,1220,23.48,157832,38,6.2
Tesla,Model Y,2015,Truck,86.9,71.6,398,231.2,0.51,414,13.21,214383,89.5,37.2
Kia,EV6,2017,SUV,111.8,85.6,463,37.4,3.76,233,14.02,9073,90.7,18.6
Mercedes,EQS,2018,Hatchback,63.2,70.3,339,245.3,0.27,945,24.93,71504,69.6,10.7
Audi,e-tron,2017,SUV,116.4,78.3,522,145.7,0.88,1881,24.39,7669,74.2,-8
Chevrolet,Bolt EUV,2015,Hatchback,91.2,77.8,451,82.6,1.41,1678,20.76,186871,55.6,31.4
Mercedes,EQC,2022,Truck,48.7,97.4,211,210.4,0.31,327,18.74,116641,94.6,19
Audi,e-tron,2021,SUV,52.1,87.3,251,50.6,1.39,863,24.66,56673,46.3,18
Ford,Mustang Mach-E,2015,Sedan,77.7,96.5,457,35,2.89,1526,22.62,88138,88.8,-0.4
Mercedes,EQS,2017,Sedan,38.9,92.7,202,76.6,0.67,1243,14.21,192323,86.7,-1.8
Volkswagen,ID.3,2017,Truck,61.7,82.9,348,194.1,0.4,1905,22.86,52717,93.6,-8.4
Mercedes,EQC,2022,Truck,73.1,91.9,375,57.9,1.46,1834,24.12,36558,33,15.1
Kia,Niro EV,2016,Hatchback,65.5,97.7,373,101,0.77,361,17.36,228134,79.7,-9.8
Audi,e-tron,2021,Hatchback,72.5,80.2,428,177.5,0.49,1705,24.28,136960,56.1,3.1
Kia,Niro EV,2020,SUV,51.7,71.9,225,40.8,1.36,1547,21.14,193405,71.5,17.2
Mercedes,EQC,2024,Sedan,47,86.8,253,138.2,0.42,314,21.44,38149,50.2,11
Mercedes,EQS,2020,Truck,61.6,87.2,353,233.1,0.34,1533,15.06,187018,57.6,31.9
Mercedes,EQS,2020,Hatchback,37.3,79.5,221,47.6,0.88,920,12.06,88568,37,15.2
Chevrolet,Bolt EUV,2021,SUV,111.4,72.6,493,212.8,0.61,1361,12.42,50217,44.7,32
Hyundai,Kona Electric,2022,Sedan,40.7,96.1,163,103.8,0.51,1407,21.31,242963,51.8,11.6
Nissan,Leaf,2024,Hatchback,69,89.4,313,102.8,0.76,1912,15.05,221018,30.7,7
Ford,Mustang Mach-E,2015,SUV,54.5,85.2,252,247.9,0.27,281,14.75,41366,36.6,-3.6
Kia,EV6,2017,Truck,90.1,91.5,465,240.1,0.53,1489,24.46,125605,60.3,-1.4
Ford,Mustang Mach-E,2021,Truck,113.9,88,488,226.5,0.68,1212,12.84,140513,61.3,37.8
Mercedes,EQC,2017,SUV,97.3,83.3,573,207.9,0.54,405,16.21,110852,93.8,7.5
Chevrolet,Bolt EUV,2022,SUV,91,96.5,406,73.7,1.41,933,24.05,81970,31.4,13
Chevrolet,Bolt EUV,2024,Hatchback,39.3,75.9,194,223.1,0.21,1216,15.65,247634,70,-7.5
Audi,Q4 e-tron,2016,Sedan,104.9,83.8,562,166.8,0.89,1928,17.42,133121,95.7,9.6
Ford,F-150 Lightning,2020,SUV,35,94.3,208,207.9,0.2,553,14.57,230743,55.5,3
Ford,F-150 Lightning,2023,Hatchback,90.9,76.9,507,152.3,0.79,1652,16.63,105353,32.3,26.9
Nissan,Ariya,2021,Sedan,106.7,77.4,430,159,0.82,726,22.48,230558,97.9,6.8
Nissan,Ariya,2024,Truck,68.8,83.4,317,156.2,0.59,1698,20.52,202057,34.5,17.7
Hyundai,Ioniq 5,2023,Sedan,79.4,84.4,324,12.7,6.6,1238,19.93,215211,62.9,22.5
Hyundai,Kona Electric,2015,Sedan,115.6,89.1,644,178.2,0.86,492,17.97,130172,65.8,27.7
BMW,i3,2016,Hatchback,54.9,91.4,261,195.2,0.38,417,15.41,176448,69.2,4.6
Kia,Niro EV,2015,Sedan,64.9,84.7,297,194.8,0.42,921,21.72,237730,56.4,34.4
BMW,i3,2024,Hatchback,102,89.4,408,71.6,1.73,1044,17.47,83950,79.4,39.5
Audi,e-tron,2019,Truck,35.8,92,166,93.9,0.51,851,22.96,109152,51,40
Mercedes,EQC,2015,Hatchback,32.4,72.8,174,113.5,0.31,1807,12.45,91994,73.2,-4.4
Audi,Q4 e-tron,2017,Truck,51.4,83.1,293,51,1.32,444,23.33,38539,56.3,30.7
Ford,Mustang Mach-E,2022,Truck,89.1,74.9,366,39.9,2.39,1129,24.09,94147,53.3,32.7
Ford,F-150 Lightning,2021,Truck,34.2,86.5,168,232.8,0.19,1799,12.51,136151,47,23.5
Kia,EV6,2018,Sedan,55.4,86.4,230,229.7,0.3,1827,24.6,42748,62.2,9.5
Ford,F-150 Lightning,2024,SUV,72.2,96.2,296,223.5,0.43,1403,19.57,104926,95.8,7.4
Mercedes,EQC,2020,Sedan,102.3,82,447,192.4,0.74,1087,17.16,242464,54.9,14.2
Ford,F-150 Lightning,2021,SUV,71,98.6,404,45.7,2.2,994,15.71,212547,84.7,38.4
Tesla,Model S,2016,Sedan,99.7,99.2,470,107.9,1,951,12.12,48030,93.6,36
Volkswagen,ID.3,2020,Truck,91.5,88.2,431,24.7,4.31,840,14.58,212096,93.6,-2.6
Hyundai,Kona Electric,2016,SUV,57.8,96.6,265,189.3,0.32,1491,18.36,80147,87.9,-9.1
Chevrolet,Bolt EV,2024,Truck,106.1,88.1,520,108.5,1.19,991,12.63,98515,99.9,-8.9
Chevrolet,Bolt EUV,2018,SUV,106.3,92.6,520,157.5,0.77,868,13.36,97229,75.2,-0.7
Kia,Niro EV,2017,SUV,76.8,90.5,376,68.8,1.59,1399,19.68,18155,69,0.1
Ford,F-150 Lightning,2015,Hatchback,46.2,70.5,204,134.9,0.41,1121,15.7,88452,82.1,-8.7
Chevrolet,Bolt EV,2020,Hatchback,80.3,81.2,463,119.3,0.86,1042,21.07,178714,67.4,-1
Kia,Niro EV,2022,Sedan,101.5,84.7,414,193.4,0.71,305,18.14,113190,96.3,9.5
Nissan,Ariya,2015,Truck,68.7,87.4,378,74.6,1,1437,24.7,52719,95.6,29.3
Volkswagen,ID.4,2020,SUV,58.5,76.4,339,225.9,0.36,1912,21.73,199095,57.9,37.7
Chevrolet,Bolt EUV,2023,Truck,60.6,79.5,358,199.6,0.34,500,17.52,189522,88,22.8
Mercedes,EQS,2015,Truck,114.5,89.2,541,118.4,1.06,995,14.77,205657,70.4,1.7
Hyundai,Kona Electric,2015,Hatchback,38.6,84.8,217,196.1,0.21,425,24.71,21119,49.7,19.6
Mercedes,EQS,2016,Sedan,99.1,94.1,570,235.1,0.53,743,21.06,10392,78.8,2.8
Kia,Niro EV,2021,Sedan,50,91.3,208,188.2,0.3,977,22.88,104992,74,20.7
Volkswagen,ID.4,2020,Sedan,111.8,94.3,647,13.8,8.61,1686,19.76,30992,38.9,11.6
BMW,iX,2017,SUV,71.8,82.7,409,85.6,0.93,1739,18.35,177268,96.6,2.4
Chevrolet,Bolt EUV,2022,Hatchback,78.4,74.3,342,224.1,0.5,1766,13.78,178499,69.2,21.2
Ford,F-150 Lightning,2022,Hatchback,96.4,73.8,484,77.7,1.68,1946,21.45,84044,78.9,31.1
Nissan,Leaf,2024,SUV,67,88,289,61.3,1.42,1769,18.82,16226,87,5.3
Ford,Mustang Mach-E,2019,Truck,31.3,97.1,127,88.1,0.42,404,20.36,49069,66.9,15.8
Tesla,Model 3,2017,Hatchback,73.7,84,391,35.7,2.7,893,13.92,58520,30.9,12
Volkswagen,ID.4,2023,Hatchback,113.8,86.6,613,153.6,1.01,1927,17.02,183152,47.8,26
BMW,i4,2017,SUV,113,71.1,645,66.2,1.87,1149,14.58,209543,92.2,27.9
Ford,F-150 Lightning,2019,Truck,70.2,75.2,287,69.9,1.36,849,17.41,137532,32.7,27.2
BMW,i3,2023,Sedan,36.3,99.4,189,54.8,0.76,1312,15.72,203648,90.3,37.4
Chevrolet,Bolt EUV,2016,Sedan,112.6,72.3,546,138.2,0.88,1458,21.14,57890,98,-6.3
Volkswagen,ID.4,2023,SUV,88.2,80.5,401,149,0.63,815,19.6,234535,80.6,24.3
Volkswagen,ID.4,2017,Truck,79.1,93,458,199.7,0.53,925,19.91,166340,30.6,32.1
Volkswagen,ID.3,2021,SUV,64.1,70.3,292,39.5,2.24,1482,12.4,34605,43.3,7.7
Kia,Niro EV,2023,Sedan,65.9,92.5,273,32.4,2.36,1630,14.62,240616,94.1,26.2
Chevrolet,Bolt EUV,2024,Hatchback,52.9,93.2,239,60.9,0.93,782,24.38,26017,40.4,-1.2
BMW,iX,2024,Hatchback,61.3,89.7,247,26.4,3.2,1098,18.35,18138,92.2,11
Audi,e-tron,2024,Hatchback,31.4,83.5,152,142.9,0.24,272,14.47,109334,95.4,35.6
